食品群,食品番号,索引番号,食品名,廃 棄 率,,,一般成分,一般成分,一般成分,一般成分,一般成分,,,,,一般成分,一般成分,,,,一般成分,無機質,無機質,無機質,無機質,無機質,無機質,無機質,無機質,無機質,無機質,無機質,無機質,無機質,"ビタミン
(ビタミンA)","ビタミン
(ビタミンA)","ビタミン
(ビタミンA)","ビタミン
(ビタミンA)","ビタミン　
(ビタミンA)","ビタミン
(ビタミンA)",ビタミン,"ビタミン　
(ビタミンE)","ビタミン　
(ビタミンE)","ビタミン　
(ビタミンE)","ビタミン　
(ビタミンE)",ビタミン,ビタミン,ビタミン,ビタミン,ビタミン,ビタミン,ビタミン,ビタミン,ビタミン,ビタミン,,,,,,,,,,,,備考
,,,,,エネルギー（kcal）,エネルギー（kJ),水   分,たんぱく質,アミノ酸組成によるたんぱく質,脂   質,トリアシルグリセロール当量,飽和脂肪酸,一価不飽和脂肪酸,多価不飽和脂肪酸,コレステロール,炭水化物,利用可能炭水化物（単糖当量）,水溶性食物繊維,不溶性食物繊維,食物繊維総量,灰   分,ナトリウム,カリウム,カルシウム,マグネシウム,リン,鉄,亜鉛,銅,マンガン,ヨウ素,セレン,クロム,モリブデン,レチノール,α-カロテン,β-カロテン,β-クリプトキサンチン,β-カロテン当量,レチノール活性当量,ビタミンD,α-トコフェロール,β-トコフェロール,γ-トコフェロール,δ-トコフェロール,ビタミンK,ビタミンB1,ビタミンB2,ナイアシン,ビタミンB6,ビタミンB12,葉酸,パントテン酸,ビオチン,ビタミンC,食塩相当量,アルコール,硝酸イオン,テオブロミン,カフェイン,タンニン,ポリフェノール,酢酸,調理油,有機酸,重量変化率,
,,,Tagnames,REFUSE,"ENERC_
KCAL",ENERC,WATER,－,PROTCAA,－,FATNLEA,FASAT,FAMS,FAPU,CHOLE,－,CHOAVLM,FIBSOL,FIBINS, FIBTG,ASH,NA,K,CA,MG,P,FE,ZN,CU,MN,ID,SE,CR,MO,RETOL,CARTA ,CARTB ,CRYPXB,CARTBEQ,VITA_RAE,VITD,TOCPHA,TOCPHB ,TOCPHG,TOCPHD,VITK,THIAHCL ,RIBF,NIA,VITB6A,VITB12,FOL,PANTAC,BIOT,VITC,NACL_EQ,ALC,NITRA ,THEBRN,CAFFN ,TAN,POLYPHENT,ACEAC,－,OA,－,
,,,単位,%,kcal/100 g,kJ/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,mg/100 ｇ,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,µg/100 g,µg/100 g,µg/100 g,µg/100 g,µg/100 g,µg/100 g,µg/100 g,µg/100 g,µg/100 g,µg/100 g,µg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,µg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,µg/100 g,µg/100 g,mg/100 g,µg/100 g,mg/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,%,
11,11221,1712,鶏もも肉,0,204,853,68.5,16.6,16.7,14.2,13.5,4.37,6.71,1.85,89,0,-,(0),(0),(0),0.9,62,290,5,21,170,0.6,1.6,0.04,0.01,Tr,17,0,2,40,-,0,-,-,40,0.4,0.7,0,0.1,0,29,0.10,0.15,4.8,0.25,0.3,13,0.81,3.5,3,0.2,-,-,-,-,-,-,-,-,-,-,皮及び皮下脂肪： 21.2 %　 
11,11219,1708,鶏むね肉,0,145,607,72.6,21.3,16.9,5.9,5.5,1.53,2.67,1.03,73,0.1,-,(0),(0),(0),1.0,42,340,4,27,200,0.3,0.6,0.03,0.01,0,17,1,2,18,0,0,0,0,18,0.1,0.3,0,Tr,0,23,0.09,0.10,11.2,0.57,0.2,12,1.74,2.9,3,0.1,-,-,-,-,-,-,-,-,-,-,皮及び皮下脂肪： 9.0 %　 
11,11227,1720,鶏ささ身,5,105,439,75.0,23.0,-,0.8,0.5,0.17,0.20,0.13,67,0,-,(0),(0),(0),1.2,33,420,3,31,220,0.2,0.6,0.03,0.01,0,22,0,6,5,-,-,-,Tr,5,0,0.2,0,0.1,0,14,0.09,0.11,11.8,0.60,0.1,10,3.08,3.0,2,0.1,-,-,-,-,-,-,-,-,-,-,廃棄部位： すじ　 
11,11183,1661,ベーコン,0,405,1695,45.0,12.9,(10.3),39.1,38.1,14.81,18.00,3.57,50,0.3,-,(0),(0),(0),2.7,800,210,6,18,230,0.6,1.8,0.08,-,-,-,-,-,6,-,-,-,(0),6,0.5,0.6,Tr,0,0,1,0.47,0.14,3.0,0.18,0.7,1,0.64,-,35,2.0,-,-,-,-,-,-,-,-,-,-,"ばらを原料とするもの　 "
11,11175,1654,ボンレスハム,0,118,494,72.0,18.7,(15.4),4.0,3.4,1.18,1.49,0.56,49,1.8,-,(0),(0),(0),3.5,1100,260,8,20,340,0.7,1.6,0.07,0.01,-,-,-,-,Tr,-,-,-,(0),(Tr),0.6,0.2,0,Tr,Tr,2,0.90,0.28,6.5,0.24,1.3,1,0.70,-,49,2.8,-,-,-,-,-,-,-,-,-,-,ビタミンC： 添加品を含む　 
11,11176,1655,ロースハム,0,196,820,65.0,16.5,(13.6),13.9,12.6,4.99,5.67,1.38,40,1.3,-,(0),(0),(0),3.3,1000,260,10,19,340,0.5,1.1,0.07,-,-,-,-,-,Tr,-,-,-,(0),(Tr),0.6,0.3,0,0,0,3,0.60,0.12,6.6,0.23,0.4,2,0.57,-,50,2.5,-,-,-,-,-,-,-,-,-,-,ビタミンC： 添加品を含む　 
11,11177,1656,ショルダーハム,0,231,967,62.7,16.1,(13.5),18.2,16.2,5.91,7.40,2.21,56,0.6,-,(0),(0),(0),2.4,640,290,7,19,270,1.0,2.0,0.09,0.02,-,-,-,-,4,-,-,-,(0),4,0.2,0.3,0,0.1,Tr,2,0.70,0.35,5.7,0.27,1.9,2,0.92,-,55,1.6,-,-,-,-,-,-,-,-,-,-,ビタミンC： 添加品を含む　 
