食品群,食品番号,索引番号,食品名,廃 棄 率,,,一般成分,一般成分,一般成分,一般成分,一般成分,,,,,一般成分,一般成分,,,,一般成分,無機質,無機質,無機質,無機質,無機質,無機質,無機質,無機質,無機質,無機質,無機質,無機質,無機質,"ビタミン
(ビタミンA)","ビタミン
(ビタミンA)","ビタミン
(ビタミンA)","ビタミン
(ビタミンA)","ビタミン　
(ビタミンA)","ビタミン
(ビタミンA)",ビタミン,"ビタミン　
(ビタミンE)","ビタミン　
(ビタミンE)","ビタミン　
(ビタミンE)","ビタミン　
(ビタミンE)",ビタミン,ビタミン,ビタミン,ビタミン,ビタミン,ビタミン,ビタミン,ビタミン,ビタミン,ビタミン,,,,,,,,,,,,備考
,,,,,エネルギー（kcal）,エネルギー（kJ),水   分,たんぱく質,アミノ酸組成によるたんぱく質,脂   質,トリアシルグリセロール当量,飽和脂肪酸,一価不飽和脂肪酸,多価不飽和脂肪酸,コレステロール,炭水化物,利用可能炭水化物（単糖当量）,水溶性食物繊維,不溶性食物繊維,食物繊維総量,灰   分,ナトリウム,カリウム,カルシウム,マグネシウム,リン,鉄,亜鉛,銅,マンガン,ヨウ素,セレン,クロム,モリブデン,レチノール,α-カロテン,β-カロテン,β-クリプトキサンチン,β-カロテン当量,レチノール活性当量,ビタミンD,α-トコフェロール,β-トコフェロール,γ-トコフェロール,δ-トコフェロール,ビタミンK,ビタミンB1,ビタミンB2,ナイアシン,ビタミンB6,ビタミンB12,葉酸,パントテン酸,ビオチン,ビタミンC,食塩相当量,アルコール,硝酸イオン,テオブロミン,カフェイン,タンニン,ポリフェノール,酢酸,調理油,有機酸,重量変化率,
,,,Tagnames,REFUSE,"ENERC_
KCAL",ENERC,WATER,－,PROTCAA,－,FATNLEA,FASAT,FAMS,FAPU,CHOLE,－,CHOAVLM,FIBSOL,FIBINS, FIBTG,ASH,NA,K,CA,MG,P,FE,ZN,CU,MN,ID,SE,CR,MO,RETOL,CARTA ,CARTB ,CRYPXB,CARTBEQ,VITA_RAE,VITD,TOCPHA,TOCPHB ,TOCPHG,TOCPHD,VITK,THIAHCL ,RIBF,NIA,VITB6A,VITB12,FOL,PANTAC,BIOT,VITC,NACL_EQ,ALC,NITRA ,THEBRN,CAFFN ,TAN,POLYPHENT,ACEAC,－,OA,－,
,,,単位,%,kcal/100 g,kJ/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,mg/100 ｇ,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,µg/100 g,µg/100 g,µg/100 g,µg/100 g,µg/100 g,µg/100 g,µg/100 g,µg/100 g,µg/100 g,µg/100 g,µg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,µg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,µg/100 g,µg/100 g,mg/100 g,µg/100 g,mg/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,%,
10,10003,1030,あじ,55,126,527,75.1,19.7,16.4,4.5,3.5,1.10,1.05,1.22,68,0.1,-,(0),(0),(0),1.3,130,360,66,34,230,0.6,1.1,0.07,0.01,20,46,1,0,7,0,0,0,0,7,8.9,0.6,0,0,0,Tr,0.13,0.13,5.5,0.30,7.1,5,0.41,3.3,Tr,0.3,-,-,-,-,-,-,-,-,-,-,"別名： あじ　  "
10,10345,1399,いか,30,83,348,80.2,17.9,13.1,0.8,0.3,0.11,0.03,0.19,250,0.1,-,(0),(0),(0),1.3,210,300,11,46,250,0.1,1.5,0.29,Tr,7,41,Tr,1,13,0,0,0,0,13,0.3,2.1,0,Tr,0,-,0.07,0.05,4.0,0.21,4.9,5,0.34,4.9,1,0.5,-,-,-,-,-,-,-,-,-,-,"廃棄部位： 内臓等　 "
10,10345,1399,するめいか,30,83,348,80.2,17.9,13.1,0.8,0.3,0.11,0.03,0.19,250,0.1,-,(0),(0),(0),1.3,210,300,11,46,250,0.1,1.5,0.29,Tr,7,41,Tr,1,13,0,0,0,0,13,0.3,2.1,0,Tr,0,-,0.07,0.05,4.0,0.21,4.9,5,0.34,4.9,1,0.5,-,-,-,-,-,-,-,-,-,-,"廃棄部位： 内臓等　 "
10,10047,1080,いわし,60,169,706,68.9,19.2,16.0,9.2,7.3,2.55,1.86,2.53,67,0.2,-,(0),(0),(0),1.2,81,270,74,30,230,2.1,1.6,0.20,0.04,24,48,Tr,Tr,8,0,0,0,0,8,32.0,2.5,0,0,0,1,0.03,0.39,7.2,0.49,15.7,10,1.14,15.0,0,0.2,-,-,-,-,-,-,-,-,-,-,廃棄部位： 頭部、内臓、骨、ひれ等（三枚下ろし）　 
10,10415,1381,えび,20,91,382,78.6,19.6,16.2,0.6,0.3,0.10,0.05,0.15,160,0.7,-,(0),(0),(0),1.3,140,270,68,37,220,1.4,1.2,0.33,0.10,10,27,2,-,0,(0),(0),(0),(0),0,0,1.7,0,0.3,0,(0),0.03,0.04,3.6,0.14,1.2,38,0.23,1.9,1,0.3,-,-,-,-,-,-,-,-,-,-,廃棄部位： 頭部、殻、内臓、尾部等　 
10,10084,1120,かじき,0,115,481,73.8,23.1,(18.8),1.8,1.4,0.47,0.35,0.52,46,0.1,-,(0),(0),(0),1.2,65,380,5,35,270,0.6,0.6,0.04,0.01,11,55,0,0,8,0,0,(0),(0),8,12.0,1.2,0,0,0,(0),0.09,0.07,10.4,0.44,4.3,5,1.25,13.1,2,0.2,-,-,-,-,-,-,-,-,-,-,切り身（皮なし）　 
10,10084,1120,まかじき,0,115,481,73.8,23.1,(18.8),1.8,1.4,0.47,0.35,0.52,46,0.1,-,(0),(0),(0),1.2,65,380,5,35,270,0.6,0.6,0.04,0.01,11,55,0,0,8,0,0,(0),(0),8,12.0,1.2,0,0,0,(0),0.09,0.07,10.4,0.44,4.3,5,1.25,13.1,2,0.2,-,-,-,-,-,-,-,-,-,-,切り身（皮なし）　 
