食品群,食品番号,索引番号,食品名,廃 棄 率,,,一般成分,一般成分,一般成分,一般成分,一般成分,,,,,一般成分,一般成分,,,,一般成分,無機質,無機質,無機質,無機質,無機質,無機質,無機質,無機質,無機質,無機質,無機質,無機質,無機質,"ビタミン
(ビタミンA)","ビタミン
(ビタミンA)","ビタミン
(ビタミンA)","ビタミン
(ビタミンA)","ビタミン　
(ビタミンA)","ビタミン
(ビタミンA)",ビタミン,"ビタミン　
(ビタミンE)","ビタミン　
(ビタミンE)","ビタミン　
(ビタミンE)","ビタミン　
(ビタミンE)",ビタミン,ビタミン,ビタミン,ビタミン,ビタミン,ビタミン,ビタミン,ビタミン,ビタミン,ビタミン,,,,,,,,,,,,備考
,,,,,エネルギー（kcal）,エネルギー（kJ),水   分,たんぱく質,アミノ酸組成によるたんぱく質,脂   質,トリアシルグリセロール当量,飽和脂肪酸,一価不飽和脂肪酸,多価不飽和脂肪酸,コレステロール,炭水化物,利用可能炭水化物（単糖当量）,水溶性食物繊維,不溶性食物繊維,食物繊維総量,灰   分,ナトリウム,カリウム,カルシウム,マグネシウム,リン,鉄,亜鉛,銅,マンガン,ヨウ素,セレン,クロム,モリブデン,レチノール,α-カロテン,β-カロテン,β-クリプトキサンチン,β-カロテン当量,レチノール活性当量,ビタミンD,α-トコフェロール,β-トコフェロール,γ-トコフェロール,δ-トコフェロール,ビタミンK,ビタミンB1,ビタミンB2,ナイアシン,ビタミンB6,ビタミンB12,葉酸,パントテン酸,ビオチン,ビタミンC,食塩相当量,アルコール,硝酸イオン,テオブロミン,カフェイン,タンニン,ポリフェノール,酢酸,調理油,有機酸,重量変化率,
,,,Tagnames,REFUSE,"ENERC_
KCAL",ENERC,WATER,－,PROTCAA,－,FATNLEA,FASAT,FAMS,FAPU,CHOLE,－,CHOAVLM,FIBSOL,FIBINS, FIBTG,ASH,NA,K,CA,MG,P,FE,ZN,CU,MN,ID,SE,CR,MO,RETOL,CARTA ,CARTB ,CRYPXB,CARTBEQ,VITA_RAE,VITD,TOCPHA,TOCPHB ,TOCPHG,TOCPHD,VITK,THIAHCL ,RIBF,NIA,VITB6A,VITB12,FOL,PANTAC,BIOT,VITC,NACL_EQ,ALC,NITRA ,THEBRN,CAFFN ,TAN,POLYPHENT,ACEAC,－,OA,－,
,,,単位,%,kcal/100 g,kJ/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,mg/100 ｇ,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,µg/100 g,µg/100 g,µg/100 g,µg/100 g,µg/100 g,µg/100 g,µg/100 g,µg/100 g,µg/100 g,µg/100 g,µg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,µg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,µg/100 g,µg/100 g,mg/100 g,µg/100 g,mg/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,%,
06,06007,395,アスパラ,20,22,92,92.6,2.6,1.8,0.2,(0.2),(0.07),(0),(0.08),Tr,3.9,2.1,0.4,1.4,1.8,0.7,2,270,19,9,60,0.7,0.5,0.10,0.19,1,0,0,2,(0),5,370,9,380,31,(0),1.5,Tr,0.2,0,43,0.14,0.15,1.0,0.12,(0),190,0.59,1.8,15,0,-,Tr,-,-,-,-,-,-,0.2,-,"試料： グリーンアスパラガス　 "
06,06036,429,かぶ,9,20,84,93.9,0.7,0.6,0.1,(0.1),(0.01),(0.01),(0.05),(0),4.6,3.0,0.3,1.2,1.5,0.6,5,280,24,8,28,0.3,0.1,0.03,0.06,-,-,-,-,(0),0,0,0,0,(0),(0),0,0,0,0,0,0.03,0.03,0.6,0.08,(0),48,0.25,-,19,0,-,0.1,-,-,-,-,-,-,0.1,-,"別名： かぶら、すずな　 "
06,06048,441,かぼちゃ,10,91,381,76.2,1.9,1.2,0.3,0.2,0.04,0.06,0.06,0,20.6,17.0,0.9,2.6,3.5,1.0,1,450,15,25,43,0.5,0.3,0.07,0.13,Tr,1,0,5,(0),17,3900,90,4000,330,(0),4.9,0.1,1.3,0,25,0.07,0.09,1.5,0.22,(0),42,0.62,1.7,43,0,-,Tr,-,-,-,-,-,-,0.4,-,"別名： くりかぼちゃ　 "
06,06054,448,カリフラワー,50,27,113,90.8,3.0,2.1,0.1,(0.1),(0.05),(0.01),(0.01),0,5.2,3.2,0.4,2.5,2.9,0.9,8,410,24,18,68,0.6,0.6,0.05,0.22,0,0,0,4,(0),0,18,0,18,2,(0),0.2,0,0.4,0,17,0.06,0.11,0.7,0.23,(0),94,1.30,8.5,81,0,-,Tr,-,-,-,-,-,-,0.3,-,"別名： はなやさい　 "
06,06061,455,キャベツ,15,23,96,92.7,1.3,0.9,0.2,0.1,0.02,0.01,0.02,(0),5.2,3.5,0.4,1.4,1.8,0.5,5,200,43,14,27,0.3,0.2,0.02,0.16,0,Tr,1,4,(0),0,49,1,50,4,(0),0.1,0,0,0,78,0.04,0.03,0.2,0.11,(0),78,0.22,1.6,41,0,-,0.1,-,-,-,-,-,-,0.1,-,"別名： かんらん、たまな　 "
06,06065,460,きゅうり,2,14,59,95.4,1.0,0.7,0.1,Tr,0.01,Tr,0.01,0,3.0,2.0,0.2,0.9,1.1,0.5,1,200,26,15,36,0.3,0.2,0.11,0.07,1,1,1,4,(0),1,330,0,330,28,(0),0.3,0,0,0,34,0.03,0.03,0.2,0.05,(0),25,0.33,1.4,14,0,-,Tr,-,-,-,-,-,-,0.3,-,廃棄部位： 両端　 
06,06205,607,ゴーヤ,15,17,71,94.4,1.0,0.7,0.1,(0.1),(0.01),(0.02),(0.04),(0),3.9,0.3,0.5,2.1,2.6,0.6,1,260,14,14,31,0.4,0.2,0.05,0.10,1,0,1,7,(0),93,160,3,210,17,(0),0.8,0.1,0.1,0,41,0.05,0.07,0.3,0.06,(0),72,0.37,0.5,76,0,-,Tr,-,-,-,-,-,-,Tr,-,"別名： つるれいし、ゴーヤ　 "
