ingredient,unit,g
アスパラ,束,100
アスパラ,本,20
かぶ,個,80
かぼちゃ,個,1200
カリフラワー,個,500
キャベツ,個,1200
キャベツ,枚,50
きゅうり,cm,5
きゅうり,本,100
ゴーヤ,本,250
ごぼう,本,150
小松菜,束,300
さやいんげん,本,7
春菊,束,200
しょうが,かけ,12
ズッキーニ,本,200
セロリ,本,100
大根,本,1000
大根,cm,25
ゆでたけのこ,個,200
たけのこ（水煮）,個,200
玉ねぎ,個,200
とうもろこし,本,350
トマト,個,180
なす,個,80
にら,束,100
にんじん,本,180
にんじん,cm,10
にんにく,片,8
ねぎ,cm,4
ねぎ,本,100
白菜,株,2000
白菜,枚,100
パプリカ（赤）,個,150
パプリカ,個,150
小ねぎ,束,55
小ねぎ,本,7
ピーマン,個,35
ブロッコリー,個,200
ブロッコリー,房,15
ほうれん草,束,200
水菜,束,200
もやし,袋,250
レタス,個,300
レタス,枚,30
れんこん,節,180
さつまいも,本,250
里いも,個,50
じゃがいも,個,150
長いも,本,500
えのきだけ,袋,100
エリンギ,パック,100
エリンギ,本,40
しめじ,パック,100
しいたけ,パック,100
しいたけ,個,15
しいたけ,枚,10
まいたけ,パック,100
マッシュルーム,パック,150
マッシュルーム,個,10
厚揚げ,枚,120
油揚げ,枚,30
豆腐,丁,300
納豆,パック,50
精白米,合,150
精白米,カップ,170
無洗米,合,160
無洗米,カップ,180
ご飯,杯（丼）,140
ご飯,茶碗杯,140
鶏もも肉,枚,250
鶏むね肉,枚,180
鶏ささ身,本,40
ベーコン,枚,20
ハム,枚,15
あじ,尾,150
いか,杯,300
いわし,尾,100
えび,尾,50
かじき,切れ,100
かれい,切れ,100
さけ,切れ,100
さば,切れ,80
さんま,尾,150
たこ（ゆで・足）,本,150
たら,切れ,100
あさり（殻つき）,粒,10
あさり（殻つき）,個,10
はまぐり（殻つき）,個,30
帆立貝柱,個,30
卵,個,50
溶き卵,個分,50
ゆで卵,個,50
ゆで卵,個分,50
ミニトマト,個,20
スペアリブ,,
ぶり（切り身）･アラとあわせて,,
ぶり,切れ,80
ぶり（切り身）･4切れ,,
ぶり（切り身）,,
長ねぎ,本,100
きんめだい（切り身）,,
かれい（切り身）,切れ,100
さば（半身）,,
さば･二枚におろしたもの,,
さばみそ煮缶,,
袋入りカット野菜（キャベツミックス）,,
生ざけ,切れ,100
生ざけ（切り身）,,
サーモン･筒切り、4枚,,
玉ねぎ･くし形切り,,
舌びらめ,尾,100
白身魚,,
ルッコラ･みじん切り,,
アンチョビ･みじん切り,,
溶けるチーズ･ピザ用,,
玉ねぎ･せん切り,個分,200
牛乳,カップ,80
カリフラワー･小,,
たい（切り身）･または好みの魚,切れ,100
甘塩たら,切れ,100
あさり,,
牛肉,,
すずき（切り身）,,
たい（切り身）,切れ,100
白身魚（切り身）,,
牛ももかたまり肉,,
小玉ねぎ,,
牛もも赤身肉,,
しっとりゆで鶏,枚,180
ゆで卵･粗みじん切り,個分,50
鶏もも肉（皮なし）,,
生わかめ,,
ねぎ･5mm角に切る,cm, 4
鶏ひき肉,,
玉ねぎのみじん切り,個分,200
ピーマン･または赤ピーマン,個,35
合いびき肉,,
オクラ,本,9
カラーピーマン,個,35
ピーマン･大,個,40
パイナップル缶,枚,34
パプリカ（黄）,個,100
カットトマト缶,缶,400
豚ひき肉,,
おろし玉ねぎ,,
スペアリブ･1本100g,本,100
スペアリブ,本,100
サニーレタス,枚,30
オレンジ,,
豚スペアリブ･12本,,
豚スペアリブ,,
豚スペアリブ･ブツ切り,,
こんにゃく,枚,400
うずらの卵の水煮,個,9
ひじきの煮物,,
豚もも肉（チャーシュー用）･タコ糸を巻いたもの,,
豚肩ロースかたまり肉,,
豚ヒレかたまり肉,,
豚肩ロース肉･ソテー用･大1枚,,
サニーレタス･中心の葉の部分･10枚,,
白髪ねぎ,本分,100
豚ももかたまり肉,,
豚肩ロース肉･ブロック,,
豚バラかたまり肉,,
豚もも肉･かたまり,,
ねぎ･白い部分,本,100
ラディッシュ,個,10
鶏もも肉（皮つき）･1枚,,
豚バラ薄切り肉,,
白菜キムチ,,
豚ロース肉,,
豚ロース薄切り肉,,
キムチ,,
豚もも肉･切り落とし,,
豚こま切れ肉,,
豚こま切れ肉･または、牛切り落とし肉,,
長ねぎ･青い部分も含めて,本,80
しらたき,,
牛切り落とし肉,,
高野豆腐,枚,300
焼き豆腐,丁,300
豚ロースかたまり肉,,
牛もも薄切り肉･または豚薄切り肉,,
パイナップル缶･輪切り,切れ,34
牛薄切り肉,,
豚もも薄切り肉,,
牛もも肉･鉄板焼き用,,
豚薄切り肉,,
ひじきの煮物･市販品,,
ホールコーン缶,,
ベーコンブロック,,
マッシュルーム･正味,,
しいたけ･正味,,
しめじ･正味,,
ブロッコリー･小,房,150
うなぎのかば焼き,串,100
いちじく,個,60
フランスパン,,
ロースハム,枚,5
卵･Lサイズ,個,60
かに缶,缶,60
もずく,,
かにの身,,
温かいご飯,,
食パン･5mm厚さ,枚,50
アボカド,,
にら･1束,,
にら･1/2束,,
たい（刺身）,,
たい･刺身用,,
完熟トマト･正味,,
ゆでだこ,,
まぐろ（刺身）･さく,,
リーフレタス,,
マッシュルーム･薄切り,,
まぐろ･刺身用,,
かつお･たたき用･1/2節,,
新玉ねぎ･またはサラダ玉ねぎ･小,,
まぐろの赤身･刺身用,,
玉ねぎ･1/10個,,
牛もも肉･ステーキ用肉,,
紫玉ねぎ,,
豚しゃぶしゃぶ用肉,,
牛ランプ肉,,
レタス･大,,
塩鶏,,
冷凍無頭えび,,
グリーンアスパラガス,,
玉ねぎ･輪切り,,
グレープフルーツ,,
キウイ,,
いちご,,
ルビーグレープフルーツ",,
りんご,,
木綿豆腐･1丁,,
糸こんにゃく,,
ほうれん草･葉先1束分,,
キャベツのせん切り,,
絹ごし豆腐,,
絹ごし豆腐･少量パック,,
クレソン,,
大豆もやし,,
新にんじん･小,,
新玉ねぎ,,
ひじき･1袋,,
肉そぼろ,,
プレーンヨーグルト,,
さやえんどう,,
豚ひき肉かたまり焼き,,
スパゲッティ,,
豚肩ロース肉･かたまり,,
塩豚（肩ロース肉）,,
きゅうり･せん切り,,
塩豚（肩ロース肉）･かたまり,,
レトルトカレー･残りもののカレーでも可,,
ゆでうどん,,
スパゲッティ･1.6mm,,
ブロッコリー･小房約5個分,,
ウインナーソーセージ,,
カレー･残りもの、レトルトカレーなど･おたま1杯強,,
卵黄,,
中華めん,,
れんこん･大,,
里いも･大きめのもの,,
大豆の水煮,,
玉ねぎ･大,,
じゃがいも･大,,
ロメインレタス,,
ブラックオリーブ,,
サニーレタス･小,,
かぶ･正味,,
にんじん･1/5本,,
玉ねぎ･小,,
にんにくの芽,,
れんこん･小,,
ちくわ,,
サーモン（刺身）,,
玉ねぎ･薄切り,,
トマト･薄切り,,
ピクルス,,
スモークサーモン,,
オリーブピクルス･グリーン,,
固ゆで卵,,
じゃがいも（大）,,
薄切りハム,,
魚肉ソーセージ,,
じゃがいも･3個,,
ツナ缶,,
ゆでだこの足,,
にんじん･1/4本,,
レタス･3枚,,
ベーコン･2枚,,
じゃがいも･メークイン･3個,,
紫キャベツ,,
ボンレスハム,,
ウインナーソーセージ･ミニサイズ,,
豚ロースしゃぶしゃぶ肉,,
牛もも薄切り肉,,
粗びきウインナーソーセージ,,
にんじん･1本,,
マカロニ,,
マカロニ･シェル型,,
ツナ缶･小,,
マカロニサラダ,,
里いも･小,,
豚ロース薄切り肉･または豚もも薄切り肉,,
大根･6.5cm,,
大根･9.5cm,,
ほうれん草･2/5束,,
大根･15cm,,
大根･1/2本,,
鶏手羽先,,
鶏むねひき肉,,
牛バラ薄切り肉,,
牛こま切れ肉,,
ぶり（切り身）･アラと合わせて,,
大根･下ゆでしたもの3切れ（7.5cm分）,,
するめいか･正味,,
白いんげん豆（乾）,,
豚肩ロース肉とんかつ用,,
鶏骨つきもも肉,,
里いも･正味,,
ゆでたけのこ･正味,,
ごぼう･正味,,
にんじん･正味,,
玉こんにゃく,,
